x,y,row,col,spot_id,radius
303.67188,4.390625,0,3,0x3,27.5
703.6719,4.390625,0,7,0x7,27.5
803.6719,4.390625,0,8,0x8,27.5
253.67188,90.99316537844386,1,2,1x2,27.5
353.67188,90.99316537844386,1,3,1x3,27.5
653.6719,90.99316537844386,1,6,1x6,27.5
753.6719,90.99316537844386,1,7,1x7,27.5
853.6719,90.99316537844386,1,8,1x8,27.5
1753.6719,90.99316537844386,1,17,1x17,27.5
103.671875,177.59570575688772,2,1,2x1,27.5
303.67188,177.59570575688772,2,3,2x3,27.5
403.67188,177.59570575688772,2,4,2x4,27.5
503.67188,177.59570575688772,2,5,2x5,27.5
603.6719,177.59570575688772,2,6,2x6,27.5
703.6719,177.59570575688772,2,7,2x7,27.5
803.6719,177.59570575688772,2,8,2x8,27.5
1003.6719,177.59570575688772,2,10,2x10,27.5
1103.6719,177.59570575688772,2,11,2x11,27.5
1303.6719,177.59570575688772,2,13,2x13,27.5
1403.6719,177.59570575688772,2,14,2x14,27.5
1503.6719,177.59570575688772,2,15,2x15,27.5
53.671875,264.1982461353316,3,0,3x0,27.5
353.67188,264.1982461353316,3,3,3x3,27.5
453.67188,264.1982461353316,3,4,3x4,27.5
553.6719,264.1982461353316,3,5,3x5,27.5
653.6719,264.1982461353316,3,6,3x6,27.5
753.6719,264.1982461353316,3,7,3x7,27.5
853.6719,264.1982461353316,3,8,3x8,27.5
953.6719,264.1982461353316,3,9,3x9,27.5
1053.6719,264.1982461353316,3,10,3x10,27.5
1153.6719,264.1982461353316,3,11,3x11,27.5
1253.6719,264.1982461353316,3,12,3x12,27.5
1453.6719,264.1982461353316,3,14,3x14,27.5
103.671875,350.80078651377545,4,1,4x1,27.5
303.67188,350.80078651377545,4,3,4x3,27.5
403.67188,350.80078651377545,4,4,4x4,27.5
503.67188,350.80078651377545,4,5,4x5,27.5
603.6719,350.80078651377545,4,6,4x6,27.5
703.6719,350.80078651377545,4,7,4x7,27.5
803.6719,350.80078651377545,4,8,4x8,27.5
903.6719,350.80078651377545,4,9,4x9,27.5
1003.6719,350.80078651377545,4,10,4x10,27.5
1103.6719,350.80078651377545,4,11,4x11,27.5
1203.6719,350.80078651377545,4,12,4x12,27.5
